# onset(ms)	end(ms)	label
15790	15836	L0T15790M1L0_
15836	15882	L0T15836M1L0_
15882	15929	L0T15882M1L0_
15929	15975	L0T15929M1L0_
15975	16022	L0T15975M1L0_
16022	16068	L0T16022M1L0_
16068	16115	L0T16068M1L0_
16115	16161	L0T16115M1L0_
16161	16208	L0T16161M1L0_
16208	16254	L0T16208M1L0_
16254	16300	L0T16254M1L0_
16300	16347	L0T16300M1L0_
16347	16393	L0T16347M1L0_
16393	16440	L0T16393M1L0_
16440	16486	L0T16440M1L0_
16486	16533	L0T16486M1L0_
16533	16579	L0T16533M1L0_
16579	16625	L0T16579M1L0_
16625	16672	L0T16625M1L0_
16672	16718	L0T16672M1L0_
16718	16765	L0T16718M1L0_
16765	16811	L0T16765M1L0_
16811	16858	L0T16811M9L0_L1T16811M2L1_L2T16811M1L2_
16858	16904	L0T16858M9L0_
16904	16951	L0T16904M3L0_L1T16904M2L1_
16951	16997	L0T16951M0L0_
16997	17043	L0T16997M3L0_
17043	17090	L0T17043M0L0_L1T17043M2L1_
17090	17136	L0T17090M3L0_
17136	17183	L0T17136M0L0_L1T17136M2L1_
17183	17229	L0T17183M3L0_
17229	17276	L0T17229M0L0_L1T17229M2L1_
17276	17322	L0T17276M3L0_
17322	17369	L0T17322M0L0_L1T17322M2L1_
17369	17415	L0T17369M3L0_
17415	17461	L0T17415M0L0_L1T17415M2L1_
17461	17508	L0T17461M3L0_
17508	17554	L0T17508M0L0_L1T17508M2L1_
17554	17601	L0T17554M3L0_
17601	17647	L0T17601M0L0_L1T17601M2L1_
17647	17694	L0T17647M3L0_
17694	17740	L0T17694M0L0_L1T17694M2L1_
17740	17786	L0T17740M3L0_
17786	17833	L0T17786M0L0_L1T17786M2L1_
17833	17879	L0T17833M3L0_
17879	17926	L0T17879M0L0_L1T17879M2L1_
17926	17972	L0T17926M3L0_
17972	18019	L0T17972M0L0_L1T17972M2L1_
18019	18065	L0T18019M3L0_
18065	18112	L0T18065M0L0_L1T18065M2L1_
18112	18158	L0T18112M3L0_
18158	18204	L0T18158M0L0_L1T18158M2L1_
18204	18251	L0T18204M3L0_
18251	18297	L0T18251M0L0_L1T18251M2L1_
18297	18344	L0T18297M3L0_
18344	18390	L0T18344M0L0_L1T18344M2L1_
18390	18437	L0T18390M3L0_
18437	18483	L0T18437M0L0_L1T18437M2L1_
18483	18530	L0T18483M3L0_
18530	18576	L0T18530M0L0_L1T18530M2L1_
18576	18622	L0T18576M3L0_
18622	18669	L0T18622M0L0_L1T18622M2L1_
18669	18715	L0T18669M3L0_
18715	18762	L0T18715M0L0_L1T18715M2L1_
18762	18808	L0T18762M3L0_
18808	18855	L0T18808M0L0_L1T18808M2L1_
18855	18901	L0T18855M3L0_
18901	18947	L0T18901M0L0_L1T18901M2L1_
18947	18994	L0T18947M3L0_
18994	19040	L0T18994M0L0_L1T18994M2L1_
19040	19087	L0T19040M3L0_
19087	19133	L0T19087M0L0_L1T19087M4L1_L2T19087M2L2_L3T19087M1L3_
19133	19180	L0T19133M3L0_
19180	19226	L0T19180M0L0_L1T19180M4L1_
19226	19273	L0T19226M3L0_
19273	19319	L0T19273M5L0_L1T19273M0L1_L2T19273M1L2_
19319	19365	L0T19319M5L0_
19365	19412	L0T19365M5L0_
19412	19458	L0T19412M5L0_
19458	19505	L0T19458M5L0_
19505	19551	L0T19505M10L0_L1T19505M0L1_
19551	19598	L0T19551M10L0_
19598	19644	L0T19598M10L0_
19644	19691	L0T19644M10L0_
19691	19737	L0T19691M10L0_
19737	19783	L0T19737M10L0_
